#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BRAF	PIK3CA	9606.ENSP00000419060	9606.ENSP00000263967	0	0	0	0	0.128	0.190	0	0.931	0.947
BRAF	PRKCE	9606.ENSP00000419060	9606.ENSP00000306124	0	0	0	0.561	0.047	0.533	0.650	0.493	0.910
BRAF	TERT	9606.ENSP00000419060	9606.ENSP00000309572	0	0	0	0	0.059	0.190	0	0.776	0.815
BRAF	GSK3B	9606.ENSP00000419060	9606.ENSP00000324806	0	0	0	0.577	0.049	0	0.900	0.283	0.925
BRAF	SRC	9606.ENSP00000419060	9606.ENSP00000362680	0	0	0.121	0.652	0.057	0.318	0.400	0.606	0.842
BRAF	ESR1	9606.ENSP00000419060	9606.ENSP00000405330	0	0	0	0	0	0.071	0	0.738	0.746
BRAF	CTNNB1	9606.ENSP00000419060	9606.ENSP00000495360	0	0	0	0	0.087	0.098	0	0.771	0.795
BRD4	SIRT1	9606.ENSP00000263377	9606.ENSP00000212015	0	0	0	0	0	0.526	0	0.663	0.833
BRD4	EP300	9606.ENSP00000263377	9606.ENSP00000263253	0	0	0	0.549	0.326	0.787	0	0.927	0.988
BRD4	TNF	9606.ENSP00000263377	9606.ENSP00000398698	0	0	0	0	0.042	0.292	0	0.634	0.730
BRD4	PRMT5	9606.ENSP00000263377	9606.ENSP00000319169	0	0	0	0	0.055	0.620	0	0.348	0.745
BRD4	TOP1	9606.ENSP00000263377	9606.ENSP00000354522	0	0	0	0	0.175	0.629	0	0.291	0.764
BRD4	PARP1	9606.ENSP00000263377	9606.ENSP00000355759	0	0	0	0	0.055	0.510	0	0.536	0.766
BRD4	EHMT2	9606.ENSP00000263377	9606.ENSP00000379078	0	0	0	0	0.085	0.314	0	0.673	0.777
BRD4	DNMT1	9606.ENSP00000263377	9606.ENSP00000352516	0	0	0	0	0.055	0.625	0	0.459	0.791
BRD4	KDM1A	9606.ENSP00000263377	9606.ENSP00000383042	0	0	0	0	0.080	0.292	0	0.729	0.808
BRD4	KMT2A	9606.ENSP00000263377	9606.ENSP00000436786	0	0	0	0	0.170	0.631	0	0.611	0.870
BRD4	TOP2A	9606.ENSP00000263377	9606.ENSP00000411532	0	0	0	0	0.049	0.743	0	0.513	0.870
BRD4	NSD2	9606.ENSP00000263377	9606.ENSP00000372351	0	0	0	0	0.062	0.837	0	0.648	0.941
BRD4	CDK9	9606.ENSP00000263377	9606.ENSP00000362361	0	0	0	0	0.088	0.911	0	0.999	0.999
BRD4	RELA	9606.ENSP00000263377	9606.ENSP00000384273	0	0	0	0	0.091	0.974	0	0.986	0.999
C1QA	P2RY12	9606.ENSP00000363773	9606.ENSP00000307259	0	0	0	0	0.181	0	0	0.665	0.714
C1QA	MBL2	9606.ENSP00000363773	9606.ENSP00000363079	0	0	0	0	0.055	0.045	0.400	0.759	0.852
CA1	CA2	9606.ENSP00000430656	9606.ENSP00000285379	0	0	0.061	0.959	0.134	0	0.700	0.399	0.833
CA1	CA3	9606.ENSP00000430656	9606.ENSP00000285381	0	0	0.064	0.952	0.047	0	0.500	0.410	0.701
CA1	CA7	9606.ENSP00000430656	9606.ENSP00000345659	0	0	0.066	0.949	0.064	0	0.500	0.400	0.702
CA12	CA9	9606.ENSP00000178638	9606.ENSP00000367608	0	0	0.124	0.832	0.084	0	0.500	0.426	0.739
CA2	SLC16A1	9606.ENSP00000285379	9606.ENSP00000441065	0	0	0	0	0.093	0	0	0.751	0.764
CA3	CA4	9606.ENSP00000285381	9606.ENSP00000300900	0	0	0.156	0.768	0.054	0	0	0.822	0.845
CA9	CTNNB1	9606.ENSP00000367608	9606.ENSP00000495360	0	0	0	0	0.105	0.469	0	0.425	0.703
CA9	SLC2A1	9606.ENSP00000367608	9606.ENSP00000416293	0	0	0	0	0.142	0	0	0.832	0.849
CA9	HIF1A	9606.ENSP00000367608	9606.ENSP00000437955	0	0	0	0	0.055	0.438	0.500	0.815	0.944
CACNA1C	KCNA5	9606.ENSP00000266376	9606.ENSP00000252321	0	0	0	0	0.089	0.094	0	0.676	0.710
CACNA1C	HTR2B	9606.ENSP00000266376	9606.ENSP00000258400	0	0	0	0	0.049	0	0.900	0.196	0.916
CACNA1C	KCNH2	9606.ENSP00000266376	9606.ENSP00000262186	0	0	0	0	0.074	0.059	0	0.885	0.891
CACNA1C	CAMK2B	9606.ENSP00000266376	9606.ENSP00000379098	0	0	0	0	0.081	0.067	0.650	0.358	0.781
CACNA1C	KCND3	9606.ENSP00000266376	9606.ENSP00000319591	0	0	0	0	0.129	0.070	0	0.780	0.806
CACNA1C	HTR2C	9606.ENSP00000266376	9606.ENSP00000276198	0	0	0	0	0	0	0.900	0.222	0.918
CACNA1C	HTR2A	9606.ENSP00000266376	9606.ENSP00000437737	0	0	0	0	0.086	0	0.900	0.372	0.937
CACNA1C	INS	9606.ENSP00000266376	9606.ENSP00000380432	0	0	0	0	0.049	0	0.900	0.575	0.956
CAMK2B	EP300	9606.ENSP00000379098	9606.ENSP00000263253	0	0	0	0	0	0	0.900	0.078	0.903
CAMK2B	SLC6A3	9606.ENSP00000379098	9606.ENSP00000270349	0	0	0	0	0.043	0	0.900	0.113	0.907
CAMK2B	NOS3	9606.ENSP00000379098	9606.ENSP00000297494	0	0	0	0	0.062	0	0.900	0	0.902
CAMK2B	MAPT	9606.ENSP00000379098	9606.ENSP00000340820	0	0	0	0	0.223	0.108	0.900	0.204	0.937
CAMK2B	PDE10A	9606.ENSP00000379098	9606.ENSP00000355847	0	0	0	0	0.058	0.058	0.650	0.188	0.714
CAMK2B	TRPV1	9606.ENSP00000379098	9606.ENSP00000459962	0	0	0	0	0	0	0.900	0.067	0.902
CAMK2B	PLCB3	9606.ENSP00000379098	9606.ENSP00000443631	0	0	0	0	0.068	0	0.900	0.182	0.917
CBR1	UGT2B7	9606.ENSP00000290349	9606.ENSP00000304811	0	0	0	0	0.045	0.067	0.900	0.260	0.925
CBR1	CYP2D6	9606.ENSP00000290349	9606.ENSP00000496150	0	0	0	0	0.091	0	0.911	0.201	0.930
CBR1	CYP1A1	9606.ENSP00000290349	9606.ENSP00000378488	0	0	0	0	0.091	0	0.911	0.273	0.936
CBR1	PTGES	9606.ENSP00000290349	9606.ENSP00000342385	0	0	0	0	0	0	0.900	0.420	0.939
CBR1	DHFR	9606.ENSP00000290349	9606.ENSP00000396308	0	0	0	0	0.076	0	0.907	0.732	0.975
CCR2	TLR2	9606.ENSP00000292301	9606.ENSP00000260010	0	0	0	0	0.147	0	0	0.734	0.764
CCR2	IL1B	9606.ENSP00000292301	9606.ENSP00000263341	0	0	0	0	0.134	0	0	0.852	0.867
CCR2	TLR4	9606.ENSP00000292301	9606.ENSP00000363089	0	0	0	0	0.206	0	0	0.684	0.738
CCR2	IL17A	9606.ENSP00000292301	9606.ENSP00000497968	0	0	0	0	0.043	0	0	0.751	0.751
CCR2	CD36	9606.ENSP00000292301	9606.ENSP00000415743	0	0	0	0	0.146	0	0	0.722	0.752
CCR2	JAK3	9606.ENSP00000292301	9606.ENSP00000432511	0	0	0	0	0.148	0	0.650	0.242	0.754
CCR2	TLR7	9606.ENSP00000292301	9606.ENSP00000370034	0	0	0	0	0.293	0	0	0.676	0.761
CCR2	VCAM1	9606.ENSP00000292301	9606.ENSP00000294728	0	0	0	0	0.088	0.098	0	0.744	0.771
CCR2	TNF	9606.ENSP00000292301	9606.ENSP00000398698	0	0	0	0	0.084	0	0	0.761	0.771
CCR2	JAK2	9606.ENSP00000292301	9606.ENSP00000371067	0	0	0	0	0.100	0	0.650	0.371	0.784
CCR2	CX3CR1	9606.ENSP00000292301	9606.ENSP00000351059	0	0	0.079	0.882	0.256	0	0.500	0.577	0.835
CCR2	CSF1	9606.ENSP00000292301	9606.ENSP00000327513	0	0	0	0	0	0	0	0.837	0.837
CCR2	IL10	9606.ENSP00000292301	9606.ENSP00000412237	0	0	0	0	0.103	0	0.400	0.792	0.878
CCR2	IL6	9606.ENSP00000292301	9606.ENSP00000385675	0	0	0	0	0	0	0	0.879	0.879
CCR2	CXCR1	9606.ENSP00000292301	9606.ENSP00000295683	0	0	0	0.820	0.152	0	0.500	0.920	0.963
CD14	TLR2	9606.ENSP00000385519	9606.ENSP00000260010	0	0	0	0	0.485	0.541	0.900	0.706	0.992
CD14	TLR4	9606.ENSP00000385519	9606.ENSP00000363089	0	0	0	0	0.345	0	0.900	0.939	0.995
CD36	COL1A1	9606.ENSP00000415743	9606.ENSP00000225964	0	0	0	0	0.044	0	0	0.720	0.720
CD36	FABP4	9606.ENSP00000415743	9606.ENSP00000256104	0	0	0	0	0.521	0	0.500	0.881	0.969
CD36	TLR2	9606.ENSP00000415743	9606.ENSP00000260010	0	0	0	0	0.200	0	0.500	0.996	0.998
CD36	VWF	9606.ENSP00000415743	9606.ENSP00000261405	0	0	0	0	0.179	0	0	0.770	0.803
CD36	IL1B	9606.ENSP00000415743	9606.ENSP00000263341	0	0	0	0	0.109	0	0	0.706	0.727
CD36	SELP	9606.ENSP00000415743	9606.ENSP00000263686	0	0	0	0	0.151	0.046	0.400	0.747	0.861
CD36	KDR	9606.ENSP00000415743	9606.ENSP00000263923	0	0	0	0	0.107	0	0	0.847	0.857
CD36	PPARG	9606.ENSP00000415743	9606.ENSP00000287820	0	0	0	0	0.164	0	0.500	0.873	0.942
CD36	VCAM1	9606.ENSP00000415743	9606.ENSP00000294728	0	0	0	0	0.093	0	0	0.758	0.771
CD36	FABP1	9606.ENSP00000415743	9606.ENSP00000295834	0	0	0	0	0.050	0	0.500	0.880	0.938
CD36	FABP5	9606.ENSP00000415743	9606.ENSP00000297258	0	0	0	0	0.140	0	0	0.744	0.770
CD36	OLR1	9606.ENSP00000415743	9606.ENSP00000309124	0	0	0	0	0.044	0.055	0	0.849	0.852
CD36	PPARD	9606.ENSP00000415743	9606.ENSP00000310928	0	0	0	0	0	0	0	0.787	0.787
CD36	SELE	9606.ENSP00000415743	9606.ENSP00000331736	0	0	0	0	0.100	0.046	0	0.704	0.724
CD36	PNPLA2	9606.ENSP00000415743	9606.ENSP00000337701	0	0	0	0	0.082	0	0	0.709	0.722
CD36	SREBF1	9606.ENSP00000415743	9606.ENSP00000348069	0	0	0	0	0	0	0	0.765	0.765
CD36	CD47	9606.ENSP00000415743	9606.ENSP00000355361	0	0	0	0	0.083	0	0	0.994	0.994
CD36	SRC	9606.ENSP00000415743	9606.ENSP00000362680	0	0	0	0	0.099	0.044	0	0.701	0.720
CD36	TLR4	9606.ENSP00000415743	9606.ENSP00000363089	0	0	0	0	0.260	0.292	0.500	0.995	0.998
CD36	INS	9606.ENSP00000415743	9606.ENSP00000380432	0	0	0	0	0	0	0	0.741	0.741
CD36	PPARA	9606.ENSP00000415743	9606.ENSP00000385523	0	0	0	0	0.074	0	0.500	0.905	0.952
CD36	IL6	9606.ENSP00000415743	9606.ENSP00000385675	0	0	0	0	0.105	0	0	0.710	0.730
CD36	TNF	9606.ENSP00000415743	9606.ENSP00000398698	0	0	0	0	0.122	0	0	0.685	0.711
CD36	MSR1	9606.ENSP00000415743	9606.ENSP00000405453	0	0	0	0	0.157	0	0	0.792	0.817
CD36	LPL	9606.ENSP00000415743	9606.ENSP00000497642	0	0	0	0	0.266	0	0	0.840	0.877
CD38	SIRT1	9606.ENSP00000226279	9606.ENSP00000212015	0	0	0	0	0	0	0.900	0.460	0.943
CD38	KIT	9606.ENSP00000226279	9606.ENSP00000288135	0	0	0	0	0.051	0	0	0.720	0.722
CD38	IL6	9606.ENSP00000226279	9606.ENSP00000385675	0	0	0	0	0.060	0	0	0.783	0.788
CD38	SIRT6	9606.ENSP00000226279	9606.ENSP00000337332	0	0	0	0	0	0	0.900	0.297	0.926
CD38	ENPP1	9606.ENSP00000226279	9606.ENSP00000498074	0	0	0	0	0	0	0.900	0.333	0.930
CD47	TLR2	9606.ENSP00000355361	9606.ENSP00000260010	0	0	0	0	0.111	0.045	0	0.765	0.783
CD47	KDR	9606.ENSP00000355361	9606.ENSP00000263923	0	0	0	0	0.059	0	0	0.939	0.940
CD47	EGFR	9606.ENSP00000355361	9606.ENSP00000275493	0	0	0	0	0	0	0	0.702	0.702
CD47	CX3CR1	9606.ENSP00000355361	9606.ENSP00000351059	0	0	0	0	0.062	0	0	0.915	0.917
CD47	TLR4	9606.ENSP00000355361	9606.ENSP00000363089	0	0	0	0	0.103	0.045	0	0.751	0.768
CD5L	PLAU	9606.ENSP00000357156	9606.ENSP00000361850	0	0.821	0	0	0	0.113	0	0.044	0.835
CDC25A	CDC25B	9606.ENSP00000303706	9606.ENSP00000245960	0	0	0.089	0.900	0.049	0	0.900	0.375	0.938
CDC25A	EP300	9606.ENSP00000303706	9606.ENSP00000263253	0	0	0	0	0.049	0.292	0.750	0.291	0.864
CDC25A	CDK6	9606.ENSP00000303706	9606.ENSP00000265734	0	0	0	0	0.118	0.304	0.900	0.805	0.986
CDC25A	CDK2	9606.ENSP00000303706	9606.ENSP00000266970	0	0	0	0	0.198	0.742	0.900	0.933	0.998
CDC25A	PLK1	9606.ENSP00000303706	9606.ENSP00000300093	0	0	0	0	0.318	0.139	0.900	0.637	0.975
CDC25A	CDK1	9606.ENSP00000303706	9606.ENSP00000378699	0	0	0	0	0.410	0.326	0.900	0.858	0.993
CDC25B	PLK1	9606.ENSP00000245960	9606.ENSP00000300093	0	0	0	0	0.167	0.139	0.900	0.706	0.976
CDC25B	CDK2	9606.ENSP00000245960	9606.ENSP00000266970	0	0	0	0	0.104	0.722	0.400	0.967	0.994
CDC25B	CDK1	9606.ENSP00000245960	9606.ENSP00000378699	0	0	0	0	0.105	0.807	0.900	0.932	0.998
CDC42	MAPK3	9606.ENSP00000497733	9606.ENSP00000263025	0	0	0	0	0.093	0.125	0	0.724	0.762
CDC42	KDR	9606.ENSP00000497733	9606.ENSP00000263923	0	0	0	0	0.055	0.071	0.900	0.449	0.945
CDC42	PIK3CA	9606.ENSP00000497733	9606.ENSP00000263967	0	0	0	0	0.073	0.504	0.900	0.664	0.982
CDC42	EGFR	9606.ENSP00000497733	9606.ENSP00000275493	0	0	0	0	0.042	0.211	0.500	0.895	0.955
CDC42	GSK3B	9606.ENSP00000497733	9606.ENSP00000324806	0	0	0	0	0.087	0.110	0	0.795	0.819
CDC42	PTK2	9606.ENSP00000497733	9606.ENSP00000341189	0	0	0	0	0.080	0	0.500	0.791	0.895
CDC42	PKN1	9606.ENSP00000497733	9606.ENSP00000343325	0	0	0	0	0.057	0.270	0	0.729	0.797
CDC42	RAC1	9606.ENSP00000497733	9606.ENSP00000348461	0	0	0.055	0.969	0.108	0.207	0.700	0.462	0.872
CDC42	MMP9	9606.ENSP00000497733	9606.ENSP00000361405	0	0	0	0	0.104	0	0	0.706	0.726
CDC42	SRC	9606.ENSP00000497733	9606.ENSP00000362680	0	0	0	0	0.103	0.110	0.900	0.909	0.991
CDC42	SYK	9606.ENSP00000497733	9606.ENSP00000364898	0	0	0	0	0.111	0.110	0.500	0.483	0.768
CDC42	MAPK9	9606.ENSP00000497733	9606.ENSP00000394560	0	0	0	0	0.073	0.473	0.900	0.580	0.976
CDC42	TNF	9606.ENSP00000497733	9606.ENSP00000398698	0	0	0	0	0.105	0.292	0	0.689	0.785
CDC42	DOCK4	9606.ENSP00000497733	9606.ENSP00000410746	0	0	0	0	0.053	0.154	0.400	0.451	0.701
CDC42	PIK3R1	9606.ENSP00000497733	9606.ENSP00000428056	0	0	0	0	0.074	0.683	0.900	0.768	0.992
CDC42	TYK2	9606.ENSP00000497733	9606.ENSP00000431885	0	0	0	0	0.107	0.110	0	0.661	0.707
CDC42	LCK	9606.ENSP00000497733	9606.ENSP00000477713	0	0	0	0	0.087	0.342	0.500	0.465	0.818
CDC42	CTNNB1	9606.ENSP00000497733	9606.ENSP00000495360	0	0	0	0	0.138	0.178	0.500	0.772	0.908
CDK1	KIF11	9606.ENSP00000378699	9606.ENSP00000260731	0	0	0	0	0.858	0.364	0	0.869	0.987
CDK1	EP300	9606.ENSP00000378699	9606.ENSP00000263253	0	0	0	0	0.067	0.321	0	0.602	0.726
CDK1	CDK2	9606.ENSP00000378699	9606.ENSP00000266970	0	0	0.056	0.968	0.349	0.470	0.400	0.977	0.994
CDK1	EGFR	9606.ENSP00000378699	9606.ENSP00000275493	0	0	0	0.618	0.042	0.807	0	0.253	0.849
CDK1	PLK1	9606.ENSP00000378699	9606.ENSP00000300093	0	0	0	0.624	0.814	0.150	0.900	0.660	0.993
CDK1	MAPT	9606.ENSP00000378699	9606.ENSP00000340820	0	0	0	0	0	0.625	0	0.256	0.709
CDK1	NEK2	9606.ENSP00000378699	9606.ENSP00000355966	0	0	0.130	0.733	0.832	0	0	0.493	0.919
CDK1	MCL1	9606.ENSP00000378699	9606.ENSP00000358022	0	0	0	0	0.047	0	0	0.789	0.790
CDK1	JUN	9606.ENSP00000378699	9606.ENSP00000360266	0	0	0	0	0	0.264	0	0.711	0.778
CDK1	KIF20A	9606.ENSP00000378699	9606.ENSP00000378356	0	0	0	0	0.849	0	0	0.737	0.958
CDK1	CTNNB1	9606.ENSP00000378699	9606.ENSP00000495360	0	0	0	0	0.042	0.325	0	0.573	0.700
CDK1	HIF1A	9606.ENSP00000378699	9606.ENSP00000437955	0	0	0	0	0.100	0.312	0	0.692	0.793
CDK1	TOP2A	9606.ENSP00000378699	9606.ENSP00000411532	0	0	0	0	0.960	0.053	0	0.943	0.997
CDK2	KIF11	9606.ENSP00000266970	9606.ENSP00000260731	0	0	0	0	0.383	0.139	0	0.619	0.780
CDK2	EP300	9606.ENSP00000266970	9606.ENSP00000263253	0	0	0	0	0.069	0.795	0	0.640	0.925
CDK2	CDK6	9606.ENSP00000266970	9606.ENSP00000265734	0	0	0.075	0.925	0.085	0.676	0.900	0.963	0.998
CDK2	PARP1	9606.ENSP00000266970	9606.ENSP00000355759	0	0	0	0	0.116	0.075	0	0.668	0.705
CDK2	ESR1	9606.ENSP00000266970	9606.ENSP00000405330	0	0	0	0	0	0.294	0	0.612	0.714
CDK2	CTNNB1	9606.ENSP00000266970	9606.ENSP00000495360	0	0	0	0	0.049	0.325	0	0.618	0.733
CDK2	PLK1	9606.ENSP00000266970	9606.ENSP00000300093	0	0	0	0.628	0.368	0.150	0	0.558	0.742
CDK2	GSK3B	9606.ENSP00000266970	9606.ENSP00000324806	0	0	0	0.827	0.044	0.098	0	0.755	0.770
CDK2	HIF1A	9606.ENSP00000266970	9606.ENSP00000437955	0	0	0	0	0.070	0.292	0	0.684	0.773
CDK2	TOP2A	9606.ENSP00000266970	9606.ENSP00000411532	0	0	0	0	0.483	0.053	0	0.627	0.801
CDK2	PGR	9606.ENSP00000266970	9606.ENSP00000325120	0	0	0	0	0	0.512	0	0.650	0.822
CDK2	JUN	9606.ENSP00000266970	9606.ENSP00000360266	0	0	0	0	0	0.188	0	0.793	0.825
CDK6	CTNNB1	9606.ENSP00000265734	9606.ENSP00000495360	0	0	0	0	0.042	0.415	0	0.593	0.752
CDK6	JUN	9606.ENSP00000265734	9606.ENSP00000360266	0	0	0	0	0.042	0.188	0	0.748	0.787
CDK9	EP300	9606.ENSP00000362361	9606.ENSP00000263253	0	0	0	0	0.056	0.074	0	0.711	0.725
CDK9	KMT2A	9606.ENSP00000362361	9606.ENSP00000436786	0	0	0	0	0.068	0.625	0	0.289	0.730
CDK9	RELA	9606.ENSP00000362361	9606.ENSP00000384273	0	0	0	0	0.169	0.297	0	0.744	0.837
CES1	MPO	9606.ENSP00000353720	9606.ENSP00000225275	0	0	0	0	0.054	0.045	0.900	0.406	0.939
CES1	UGT2B7	9606.ENSP00000353720	9606.ENSP00000304811	0	0	0	0	0.061	0	0.650	0.449	0.803
CES1	NCEH1	9606.ENSP00000353720	9606.ENSP00000442464	0.043	0	0	0	0.063	0	0	0.884	0.887
CES1	CES2	9606.ENSP00000353720	9606.ENSP00000499140	0	0	0.082	0.916	0.044	0	0.900	0.433	0.943
CES2	UGT2B7	9606.ENSP00000499140	9606.ENSP00000304811	0	0	0	0	0.058	0	0.650	0.433	0.797
CFH	CRP	9606.ENSP00000356399	9606.ENSP00000255030	0	0	0	0	0.094	0.893	0	0.970	0.996
CFH	F2	9606.ENSP00000356399	9606.ENSP00000308541	0	0	0	0	0.074	0	0.540	0.359	0.703
CFH	SPP1	9606.ENSP00000356399	9606.ENSP00000378517	0	0	0	0	0.083	0	0	0.690	0.703
CFH	F5	9606.ENSP00000356399	9606.ENSP00000356771	0	0	0	0	0.071	0	0.540	0.433	0.736
CFH	MBL2	9606.ENSP00000356399	9606.ENSP00000363079	0	0	0	0	0.188	0.095	0.540	0.580	0.839
CFTR	HSPB1	9606.ENSP00000003084	9606.ENSP00000248553	0	0	0	0	0	0.573	0	0.507	0.780
CFTR	HDAC6	9606.ENSP00000003084	9606.ENSP00000365804	0	0	0	0	0.064	0.630	0.400	0.356	0.848
CHIA	CHIT1	9606.ENSP00000358755	9606.ENSP00000356198	0	0	0.065	0.950	0.042	0	0.900	0.083	0.906
CHRM1	CHRM3	9606.ENSP00000306490	9606.ENSP00000255380	0	0	0.055	0.949	0.090	0	0.900	0.083	0.910
CHRM1	PIK3CG	9606.ENSP00000306490	9606.ENSP00000419260	0	0	0	0	0	0	0.650	0.197	0.707
CHRM1	NPY	9606.ENSP00000306490	9606.ENSP00000384364	0	0	0	0	0.137	0	0.650	0.203	0.738
CHRM1	PLCB3	9606.ENSP00000306490	9606.ENSP00000443631	0	0	0	0	0.054	0	0.500	0.795	0.894
CHRM1	CHRM2	9606.ENSP00000306490	9606.ENSP00000399745	0	0	0.059	0.921	0.053	0	0.900	0.095	0.908
CHRM2	NPY	9606.ENSP00000399745	9606.ENSP00000384364	0	0	0	0	0.049	0	0.650	0.258	0.731
CHRM2	PIK3CG	9606.ENSP00000399745	9606.ENSP00000419260	0	0	0	0	0	0	0.650	0.199	0.708
CLU	PON1	9606.ENSP00000315130	9606.ENSP00000222381	0	0	0	0	0	0.292	0.720	0.983	0.996
CLU	NFKB1	9606.ENSP00000315130	9606.ENSP00000226574	0	0	0	0	0.042	0.292	0	0.677	0.761
CLU	TTR	9606.ENSP00000315130	9606.ENSP00000237014	0	0	0	0	0.099	0.300	0	0.833	0.885
CLU	SORL1	9606.ENSP00000315130	9606.ENSP00000260197	0	0	0	0	0.044	0.045	0	0.861	0.862
CLU	PON3	9606.ENSP00000315130	9606.ENSP00000265627	0	0	0	0	0.055	0	0	0.731	0.734
CLU	PLA2G7	9606.ENSP00000315130	9606.ENSP00000274793	0	0	0	0	0	0	0.720	0.459	0.842
CLU	LRP8	9606.ENSP00000315130	9606.ENSP00000303634	0	0	0	0	0	0.095	0	0.893	0.899
CLU	COMMD1	9606.ENSP00000315130	9606.ENSP00000308236	0	0	0	0	0.042	0.510	0	0.542	0.766
CLU	LEP	9606.ENSP00000315130	9606.ENSP00000312652	0	0	0	0	0.042	0.095	0	0.893	0.899
CLU	MMP9	9606.ENSP00000315130	9606.ENSP00000361405	0	0	0	0	0.054	0.292	0	0.614	0.718
CLU	SPP1	9606.ENSP00000315130	9606.ENSP00000378517	0	0	0	0	0.137	0	0	0.700	0.730
CLU	GC	9606.ENSP00000315130	9606.ENSP00000421725	0	0	0	0	0	0.226	0	0.685	0.745
CLU	LPL	9606.ENSP00000315130	9606.ENSP00000497642	0	0	0	0	0.059	0	0.540	0.519	0.773
CLU	ELN	9606.ENSP00000315130	9606.ENSP00000351807	0	0	0	0	0.066	0.292	0	0.728	0.804
CLU	LPA	9606.ENSP00000315130	9606.ENSP00000321334	0	0	0	0	0	0	0.720	0.338	0.806
CLU	SNCA	9606.ENSP00000315130	9606.ENSP00000500990	0	0	0	0	0.067	0.625	0	0.636	0.861
CNR1	FAAH	9606.ENSP00000358513	9606.ENSP00000243167	0	0	0	0	0	0	0	0.972	0.972
CNR1	NTRK2	9606.ENSP00000358513	9606.ENSP00000277120	0	0	0	0	0.172	0	0	0.794	0.822
CNR1	DRD2	9606.ENSP00000358513	9606.ENSP00000354859	0	0	0	0	0.083	0.324	0.900	0.867	0.990
CNR1	HTR2A	9606.ENSP00000358513	9606.ENSP00000437737	0	0	0	0.571	0.099	0.322	0	0.640	0.760
CNR1	TRPV1	9606.ENSP00000358513	9606.ENSP00000459962	0	0	0	0	0.055	0.045	0	0.777	0.781
CNR1	CNR2	9606.ENSP00000358513	9606.ENSP00000363596	0	0	0.063	0.899	0.050	0.573	0.900	0.585	0.981
CNR2	FAAH	9606.ENSP00000363596	9606.ENSP00000243167	0	0	0	0	0.044	0	0	0.886	0.886
COL15A1	COL1A1	9606.ENSP00000364140	9606.ENSP00000225964	0	0	0.116	0.578	0.339	0	0.400	0.279	0.713
COL15A1	COL18A1	9606.ENSP00000364140	9606.ENSP00000352798	0	0	0.099	0.808	0.079	0	0.800	0.490	0.904
COL18A1	MMP2	9606.ENSP00000352798	9606.ENSP00000219070	0	0	0	0	0.115	0.503	0.750	0.687	0.960
COL18A1	COL1A1	9606.ENSP00000352798	9606.ENSP00000225964	0	0	0.111	0.615	0.149	0.292	0.400	0.273	0.724
COL18A1	MMP13	9606.ENSP00000352798	9606.ENSP00000260302	0	0	0	0	0.044	0	0.750	0.269	0.810
COL18A1	KDR	9606.ENSP00000352798	9606.ENSP00000263923	0	0	0	0	0.080	0.292	0	0.944	0.960
COL18A1	MMP3	9606.ENSP00000352798	9606.ENSP00000299855	0	0	0	0	0.051	0	0.400	0.624	0.767
COL18A1	PLG	9606.ENSP00000352798	9606.ENSP00000308938	0	0	0	0	0	0	0	0.889	0.889
COL18A1	MMP9	9606.ENSP00000352798	9606.ENSP00000361405	0	0	0	0	0.110	0.238	0.750	0.588	0.920
COL1A1	MMP2	9606.ENSP00000225964	9606.ENSP00000219070	0	0	0	0	0.403	0.298	0	0.623	0.828
COL1A1	MMP13	9606.ENSP00000225964	9606.ENSP00000260302	0	0	0	0	0.099	0.050	0	0.680	0.702
COL1A1	TNFRSF11B	9606.ENSP00000225964	9606.ENSP00000297350	0	0	0	0	0.104	0	0	0.710	0.729
COL1A1	SPP1	9606.ENSP00000225964	9606.ENSP00000378517	0	0	0	0	0.061	0	0	0.742	0.747
COL1A1	PTK2	9606.ENSP00000225964	9606.ENSP00000341189	0	0	0	0	0.055	0	0.650	0.317	0.754
COL1A1	P4HB	9606.ENSP00000225964	9606.ENSP00000327801	0	0	0	0	0.067	0.297	0.500	0.364	0.763
COL1A1	P4HA3	9606.ENSP00000225964	9606.ENSP00000401749	0	0	0	0	0.083	0	0.400	0.648	0.789
COL1A1	MMP9	9606.ENSP00000225964	9606.ENSP00000361405	0	0	0	0	0.089	0.050	0	0.830	0.840
COL1A1	ELN	9606.ENSP00000225964	9606.ENSP00000351807	0	0	0	0	0.213	0	0	0.849	0.876
COL1A1	VWF	9606.ENSP00000225964	9606.ENSP00000261405	0	0	0	0	0.103	0.294	0	0.821	0.877
COL1A1	RUNX2	9606.ENSP00000225964	9606.ENSP00000360493	0	0	0	0	0.061	0	0.750	0.826	0.955
COMMD1	COMMD9	9606.ENSP00000308236	9606.ENSP00000263401	0	0	0.225	0	0.126	0.828	0.400	0.733	0.977
COMMD1	HIF1A	9606.ENSP00000308236	9606.ENSP00000437955	0	0	0	0	0	0.510	0.500	0.582	0.888
COMMD1	RELA	9606.ENSP00000308236	9606.ENSP00000384273	0	0	0	0	0.056	0.837	0	0.817	0.969
CPS1	DHODH	9606.ENSP00000402608	9606.ENSP00000219240	0.095	0	0	0	0.612	0.071	0.400	0.395	0.860
CRHR1	NR3C1	9606.ENSP00000381333	9606.ENSP00000231509	0	0	0	0	0	0	0	0.843	0.843
